LSOA_Code,RUC21CD,RUC21NM,Urban_rural_flag
E01000321,UN1,Urban: Nearer to a major town or city,Urban
E01000322,UN1,Urban: Nearer to a major town or city,Urban
E01000323,UN1,Urban: Nearer to a major town or city,Urban
E01000324,UN1,Urban: Nearer to a major town or city,Urban
E01000325,UN1,Urban: Nearer to a major town or city,Urban
E01000326,UN1,Urban: Nearer to a major town or city,Urban
E01000327,UN1,Urban: Nearer to a major town or city,Urban
E01000328,UN1,Urban: Nearer to a major town or city,Urban
E01000329,UN1,Urban: Nearer to a major town or city,Urban
E01000330,UN1,Urban: Nearer to a major town or city,Urban
E01000331,UN1,Urban: Nearer to a major town or city,Urban
E01000332,UN1,Urban: Nearer to a major town or city,Urban
E01000333,UN1,Urban: Nearer to a major town or city,Urban
E01000334,UN1,Urban: Nearer to a major town or city,Urban
E01000335,UN1,Urban: Nearer to a major town or city,Urban
E01000336,UN1,Urban: Nearer to a major town or city,Urban
E01000337,UN1,Urban: Nearer to a major town or city,Urban
E01000338,UN1,Urban: Nearer to a major town or city,Urban
E01000339,UN1,Urban: Nearer to a major town or city,Urban
E01000340,UN1,Urban: Nearer to a major town or city,Urban
E01000341,UN1,Urban: Nearer to a major town or city,Urban
E01000342,UN1,Urban: Nearer to a major town or city,Urban
E01000343,UN1,Urban: Nearer to a major town or city,Urban
E01000344,UN1,Urban: Nearer to a major town or city,Urban
E01000345,UN1,Urban: Nearer to a major town or city,Urban
E01000346,UN1,Urban: Nearer to a major town or city,Urban
E01000347,UN1,Urban: Nearer to a major town or city,Urban
E01000348,UN1,Urban: Nearer to a major town or city,Urban
E01000349,UN1,Urban: Nearer to a major town or city,Urban
E01000350,UN1,Urban: Nearer to a major town or city,Urban
E01000351,UN1,Urban: Nearer to a major town or city,Urban
E01000352,UN1,Urban: Nearer to a major town or city,Urban
E01000353,UN1,Urban: Nearer to a major town or city,Urban
E01000354,UN1,Urban: Nearer to a major town or city,Urban
E01000355,UN1,Urban: Nearer to a major town or city,Urban
E01000356,UN1,Urban: Nearer to a major town or city,Urban
E01000357,UN1,Urban: Nearer to a major town or city,Urban
E01000358,UN1,Urban: Nearer to a major town or city,Urban
E01000359,UN1,Urban: Nearer to a major town or city,Urban
E01000360,UN1,Urban: Nearer to a major town or city,Urban
E01000361,UN1,Urban: Nearer to a major town or city,Urban
E01000362,UN1,Urban: Nearer to a major town or city,Urban
E01000363,UN1,Urban: Nearer to a major town or city,Urban
E01000364,UN1,Urban: Nearer to a major town or city,Urban
E01000365,UN1,Urban: Nearer to a major town or city,Urban
E01000366,UN1,Urban: Nearer to a major town or city,Urban
E01000367,UN1,Urban: Nearer to a major town or city,Urban
E01000368,UN1,Urban: Nearer to a major town or city,Urban
E01000369,UN1,Urban: Nearer to a major town or city,Urban
E01000370,UN1,Urban: Nearer to a major town or city,Urban
E01000371,UN1,Urban: Nearer to a major town or city,Urban
E01000372,UN1,Urban: Nearer to a major town or city,Urban
E01000373,UN1,Urban: Nearer to a major town or city,Urban
E01000374,UN1,Urban: Nearer to a major town or city,Urban
E01000375,UN1,Urban: Nearer to a major town or city,Urban
E01000376,UN1,Urban: Nearer to a major town or city,Urban
E01000377,UN1,Urban: Nearer to a major town or city,Urban
E01000379,UN1,Urban: Nearer to a major town or city,Urban
E01000380,UN1,Urban: Nearer to a major town or city,Urban
E01000381,UN1,Urban: Nearer to a major town or city,Urban
E01000382,UN1,Urban: Nearer to a major town or city,Urban
E01000383,UN1,Urban: Nearer to a major town or city,Urban
E01000384,UN1,Urban: Nearer to a major town or city,Urban
E01000385,UN1,Urban: Nearer to a major town or city,Urban
E01000386,UN1,Urban: Nearer to a major town or city,Urban
E01000387,UN1,Urban: Nearer to a major town or city,Urban
E01000388,UN1,Urban: Nearer to a major town or city,Urban
E01000389,UN1,Urban: Nearer to a major town or city,Urban
E01000390,UN1,Urban: Nearer to a major town or city,Urban
E01000391,UN1,Urban: Nearer to a major town or city,Urban
E01000392,UN1,Urban: Nearer to a major town or city,Urban
E01000393,UN1,Urban: Nearer to a major town or city,Urban
E01000394,UN1,Urban: Nearer to a major town or city,Urban
E01000395,UN1,Urban: Nearer to a major town or city,Urban
E01000396,UN1,Urban: Nearer to a major town or city,Urban
E01000398,UN1,Urban: Nearer to a major town or city,Urban
E01000399,UN1,Urban: Nearer to a major town or city,Urban
E01000400,UN1,Urban: Nearer to a major town or city,Urban
E01000401,UN1,Urban: Nearer to a major town or city,Urban
E01000402,UN1,Urban: Nearer to a major town or city,Urban
E01000403,UN1,Urban: Nearer to a major town or city,Urban
E01000404,UN1,Urban: Nearer to a major town or city,Urban
E01000405,UN1,Urban: Nearer to a major town or city,Urban
E01000406,UN1,Urban: Nearer to a major town or city,Urban
E01000407,UN1,Urban: Nearer to a major town or city,Urban
E01000408,UN1,Urban: Nearer to a major town or city,Urban
E01000409,UN1,Urban: Nearer to a major town or city,Urban
E01000410,UN1,Urban: Nearer to a major town or city,Urban
E01000411,UN1,Urban: Nearer to a major town or city,Urban
E01000412,UN1,Urban: Nearer to a major town or city,Urban
E01000413,UN1,Urban: Nearer to a major town or city,Urban
E01000414,UN1,Urban: Nearer to a major town or city,Urban
E01000415,UN1,Urban: Nearer to a major town or city,Urban
E01000264,UN1,Urban: Nearer to a major town or city,Urban
E01000265,UN1,Urban: Nearer to a major town or city,Urban
E01000266,UN1,Urban: Nearer to a major town or city,Urban
E01000267,UN1,Urban: Nearer to a major town or city,Urban
E01000268,UN1,Urban: Nearer to a major town or city,Urban
E01000269,UN1,Urban: Nearer to a major town or city,Urban
E01000270,UN1,Urban: Nearer to a major town or city,Urban
E01000271,UN1,Urban: Nearer to a major town or city,Urban
E01000272,UN1,Urban: Nearer to a major town or city,Urban
E01000273,UN1,Urban: Nearer to a major town or city,Urban
E01000274,UN1,Urban: Nearer to a major town or city,Urban
E01000275,UN1,Urban: Nearer to a major town or city,Urban
E01000276,UN1,Urban: Nearer to a major town or city,Urban
E01000277,UN1,Urban: Nearer to a major town or city,Urban
E01000278,UN1,Urban: Nearer to a major town or city,Urban
E01000279,UN1,Urban: Nearer to a major town or city,Urban
E01000280,UN1,Urban: Nearer to a major town or city,Urban
E01000281,UN1,Urban: Nearer to a major town or city,Urban
E01000282,UN1,Urban: Nearer to a major town or city,Urban
E01000283,UN1,Urban: Nearer to a major town or city,Urban
E01000284,UN1,Urban: Nearer to a major town or city,Urban
E01000285,UN1,Urban: Nearer to a major town or city,Urban
E01000286,UN1,Urban: Nearer to a major town or city,Urban
E01000287,UN1,Urban: Nearer to a major town or city,Urban
E01000288,UN1,Urban: Nearer to a major town or city,Urban
E01000289,UN1,Urban: Nearer to a major town or city,Urban
E01000290,UN1,Urban: Nearer to a major town or city,Urban
E01000291,UN1,Urban: Nearer to a major town or city,Urban
E01000292,UN1,Urban: Nearer to a major town or city,Urban
E01000293,UN1,Urban: Nearer to a major town or city,Urban
E01000294,UN1,Urban: Nearer to a major town or city,Urban
E01000295,UN1,Urban: Nearer to a major town or city,Urban
E01000296,UN1,Urban: Nearer to a major town or city,Urban
E01000297,UN1,Urban: Nearer to a major town or city,Urban
E01000298,UN1,Urban: Nearer to a major town or city,Urban
